Group_Name,model_tag,cumulative_infected_40_days,cumulative_rate_40_days,active_rate_before_peak,cumulative_before_peak,cumulative_rate_before_peak,days_peak,peak_active_infected_rate,cumulative_peak,cumulative_rate_peak,active_rate_after_peak,cumulative_after_peak,cumulative_rate_after_peak,cumulative_infected_120_days,cumulative_rate_120_days,model_name,Policy_Lever,Initial_Infections,Lockdown_Date,Prison_Rate,Police_Contact_Rate,Police_Group_Size
Black,I10_PI0.35_L14___pcNone_pgrpNone,22067.0,0.028593659728048258,0.13423937114783588,115883.0,0.1501572062475831,61,0.1872578201810631,203333.0,0.2634719088903447,0.16916344225158458,157051.0,0.20350128490278274,337029.0,0.0,original,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,18434.0,0.10100379161461416,0.35799369392484753,75460.0,0.4134613277226204,56,0.38971847695798406,93129.0,0.5102735222565586,0.38971847695798406,93129.0,0.5102735222565586,150488.0,1.0,original,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pcNone_pgrpNone,395876.0,0.10417268613820282,0.18722287872253954,956135.0,0.2516018936756726,51,0.1892266004513156,912551.0,0.24013299343254738,0.17853385707514596,1123579.0,0.2956639011167027,2734558.0,1.0,original,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,99798.0,0.14686975717439293,0.3742450265737739,312548.0,0.4599676232523915,54,0.381323310230628,343959.0,0.5061942604856512,0.37775345592173715,372275.0,0.5478660779985284,603556.0,1.0,original,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pcNone_pgrpNone,536175.0,0.09867145242180105,0.2088202470987011,1460026.0,0.2686863169554576,54,0.21026025742201226,1606581.0,0.29565660596497323,0.2092079088231651,1746035.0,0.32132010897430757,3825631.0,1.0,original,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pcNone_pgrpNone,538815.0,0.09890642042793715,0.2091813959691359,1466525.0,0.2691995178643515,54,0.21060578678992511,1613673.0,0.2962104250460931,0.2095388462680812,1753687.0,0.3219117948108494,3838593.0,1.0,original,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pcNone_pgrpNone,21729.0,0.028155690951681724,0.13335919626881249,114998.0,0.1490104536822447,61,0.1864108912705454,202070.0,0.26183535692421767,0.16828283908597763,155989.0,0.20212518182437667,334392.0,0.0,no_police,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,18378.0,0.10069695574988494,0.3574935196767315,75334.0,0.41277094702697964,56,0.3893015005833516,92990.0,0.5095119118066057,0.3893015005833516,92990.0,0.5095119118066057,150351.0,1.0,no_police,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pcNone_pgrpNone,395442.0,0.10405848132208874,0.18697144559759146,954906.0,0.2512784887931744,51,0.18898234225462535,911402.0,0.2398306401290564,0.17825024190615124,1122013.0,0.29525181645763665,2732167.0,1.0,no_police,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,99722.0,0.1467579102281089,0.37400310052190683,312335.0,0.459654157468727,54,0.38107996369205493,343727.0,0.5058528329654157,0.37751660183814567,372028.0,0.5475025754231052,603420.0,1.0,no_police,no_policy,10,14,0.35,10,17
